experiment;rep;nr_snails;focal_species;treatment;hour0;hour24;consumption_rate;consumption_absolute
3A;2_herb;1;Sp;herb;100;64;-0.446287103;-252
3A;3_herb;1;Sp;herb;100;61;-0.494296322;-273
3A;4_herb;1;Sp;herb;100;70;-0.356674944;-210
3A;5_herb;1;Sp;herb;100;36;-1.021651248;-448
3A;6_herb;1;Sp;herb;100;42;-0.867500568;-406
3A;7_herb;1;Sp;herb;100;56;-0.579818495;-308
3A;9_ctr;0;Sp;ctr;100;100;0;0
3A;10_ctr;0;Sp;ctr;100;102;0.019802627;14
3A;11_ctr;0;Sp;ctr;100;105;0.048790164;35
3A;12_ctr;0;Sp;ctr;100;100;0;0
3B;1_herb;1;Ch;herb;12.5984252;7.704396325;-0.491780705;-34.25820213
3B;2_herb;1;Ch;herb;12.5984252;7.789829396;-0.480752863;-33.66017063
3B;3_herb;1;Ch;herb;12.5984252;11.45439633;-0.095198207;-8.00820209
3B;4_herb;1;Ch;herb;12.5984252;5.187335958;-0.88735156;-51.87762469
3B;5_herb;1;Ch;herb;12.5984252;6.631692913;-0.641711709;-41.76712601
3B;6_herb;1;Ch;herb;12.5984252;6.890748031;-0.603392175;-39.95374018
3B;7_herb;1;Ch;herb;12.5984252;4.613451444;-1.004595559;-55.89481629
3B;8_herb;1;Ch;herb;12.5984252;6.272375328;-0.697416699;-44.2823491
3B;9_ctr;0;Ch;ctr;12.5984252;23.21187664;0.61109225;74.29416008
3B;10_ctr;0;Ch;ctr;12.5984252;16.54862205;0.272731017;27.65137795
3B;11_ctr;0;Ch;ctr;12.5984252;17.30269029;0.317290175;32.92985563
3B;12_ctr;0;Ch;ctr;12.5984252;17.63024934;0.336044317;35.22276898
